,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
739509,-73.9491173,40.7170235,0
766060,-73.9198611,40.8319466,0
493764,-73.9368243,40.6673162,0
678645,-73.7655606,40.5958699,0
754366,-73.9511173,40.7109568,0
437164,-74.0059032,40.6558976,1
832243,-73.9776872,40.763645,0
245116,-73.8258822,40.6651524,0
517329,-73.9154452,40.8433669,2
564268,-73.7620943,40.6005674,0
682110,-73.8920447,40.8357171,0
222839,-74.0036885,40.7483561,0
286153,-73.9796145,40.6824939,0
672097,-73.9556676,40.6811367,0
635410,-73.9518821,40.7150775,0
295277,-73.9960038,40.7639984,0
241064,-73.9529869,40.678723,0
587122,-73.9480838,40.8221092,0
690402,-74.0972216,40.5953652,0
212038,-73.8411164,40.6641936,0
